-126.6,1.98,-9.6,0,270,0,0.1,0.1,0.1,10
0,0,0,0,0,0,20,2,20,0
20,0,0,0,0,0,20,2,20,0
40,0,0,0,0,0,20,2,20,0
60,0,0,0,0,0,20,2,20,0
0,0,-20,0,0,0,20,2,20,0
20,0,-20,0,0,0,20,2,20,0
40,0,-20,0,0,0,20,2,20,0
60,0,-20,0,0,0,20,2,20,0
-139,0,-905,0,0,0,20,2,20,0
-119,0,-905,0,0,0,20,2,20,0
-99,0,-905,0,0,0,20,2,20,0
-79,0,-905,0,0,0,20,2,20,0
-139,0,-925,0,0,0,20,2,20,0
-119,0,-925,0,0,0,20,2,20,0
-99,0,-925,0,0,0,20,2,20,0
-79,0,-925,0,0,0,20,2,20,0
-300,30,-905,0,0,0,20,2,20,0
-300,30,-885,0,0,0,20,2,20,0
-280,30,-905,0,0,0,20,2,20,0
-260,30,-905,0,0,0,20,2,20,0
-240,30,-905,0,0,0,20,2,20,0
-300,30,-925,0,0,0,20,2,20,0
-300,30,-945,0,0,0,20,2,20,0
-280,30,-925,0,0,0,20,2,20,0
-260,30,-925,0,0,0,20,2,20,0
-240,30,-925,0,0,0,20,2,20,0
-420,30,-905,0,0,0,20,2,20,0
-400,30,-905,0,0,0,20,2,20,0
-380,30,-905,0,0,0,20,2,20,0
-360,30,-905,0,0,0,20,2,20,0
-360,30,-885,0,0,0,20,2,20,0
-420,30,-925,0,0,0,20,2,20,0
-400,30,-925,0,0,0,20,2,20,0
-380,30,-925,0,0,0,20,2,20,0
-360,30,-925,0,0,0,20,2,20,0
-360,30,-945,0,0,0,20,2,20,0
-500,30,-905,0,0,0,20,2,20,0
-480,30,-905,0,0,0,20,2,20,0
-460,30,-905,0,0,0,20,2,20,0
-440,30,-905,0,0,0,20,2,20,0
-500,30,-925,0,0,0,20,2,20,0
-480,30,-925,0,0,0,20,2,20,0
-460,30,-925,0,0,0,20,2,20,0
-440,30,-925,0,0,0,20,2,20,0
-580,30,-905,0,0,0,20,2,20,0
-560,30,-905,0,0,0,20,2,20,0
